Week,Platform,Title,Type,CTA
1,TikTok / Shorts / Reels,Why is data collection still this hard in 2025?,Video,Join the waitlist
1,LinkedIn / Twitter,Researchers waste 60% of time cleaning data,Post,Join the waitlist
1,TikTok / Shorts / Reels,Your data dies after your thesis — what if it didn’t?,Video,We’re fixing this
2,TikTok / Shorts / Reels,Why 99% of researchers don’t get paid for their work,Video,Comment if this hits you
2,LinkedIn / Twitter,The real reason you can’t reuse datasets,Post,DM for early beta
2,TikTok / Shorts / Reels,Data gets trashed after every project. That's insane.,Video,Join waitlist
3,TikTok / Shorts / Reels,Students are sitting on gold — and don’t know it,Video,Add your email to the waitlist
3,LinkedIn / Twitter,"Data is the oil of this century, but...",Post,Join the waitlist
3,TikTok / Shorts / Reels,What happens to research data after publication?,Video,Join the waitlist
4,TikTok / Shorts / Reels,Just ran a 3-min form that generated 200+ insights...,Video,Waitlist in bio
4,LinkedIn / Twitter,What if Google Forms had a brain?,Post,Waitlist link in bio
4,TikTok / Shorts / Reels,This invisible tool is going to flip data collection,Video,We're opening access soon
5,TikTok / Shorts / Reels,Built an AI that turns questions into gold,Video,Want early access?
5,LinkedIn / Twitter,Blurring this dashboard for now — but it blew my mind,Post,Waitlist in bio
5,TikTok / Shorts / Reels,Testing a flow that automates data collection end-to-end,Video,Join our waitlist
6,TikTok / Shorts / Reels,"I showed this to a researcher, here’s what happened",Video,DM to be a beta tester
6,LinkedIn / Twitter,Built this after failing to get clean data myself,Post,Join the waitlist
6,TikTok / Shorts / Reels,A beta user said ‘I’d pay just for this feature’,Video,Add your email
7,TikTok / Shorts / Reels,Data should be reusable. Resellable. Rewarding.,Video,Join the waitlist
7,LinkedIn / Twitter,Every response should earn. Every collector should own.,Post,Waitlist link
7,TikTok / Shorts / Reels,The missing bridge between researchers and value,Video,Join us early
8,TikTok / Shorts / Reels,Soft launching a tool that makes data work for you,Video,Final waitlist push
8,LinkedIn / Twitter,This dashboard will make sense very soon — join us early,Post,Join the waitlist
8,TikTok / Shorts / Reels,You’ve been part of this story — and we’re almost ready,Video,Sign up now
